,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
BA Warehouse,NCC2025_AU,Warehouse,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Warehouse_NCC2025AU,BA Warehouse_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA WarehousePeopleDef,NCC-BizHours-Occupancy,,,,0.06,0.0003048,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA WarehouseVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 7b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA WarehouseElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.139355,1.50,0.37,0.2,NCC J7D3a,,Storage; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA WarehouseLightingDef,NCC-BizHours-Lighting,0,0,0,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA WarehouseGasEquipDef,NECB-A-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA WarehouseInfil,Always On,Warehouse,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Workshop,NCC2025_AU,Workshop,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Workshop_NCC2025AU,BA Workshop_NCC2025AUScheduleSet,143,6.993006993,0.075272133,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA WorkshopPeopleDef,NECB-A-Occupancy,BA WorkshopActivity,,,0.25,0.00127,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA WorkshopVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA WorkshopElectricalEquipDef,NECB-A-Electric-Equipment,0.860000,9.25696,0.37,0.2,IECC Table C405.3.2(1),,Workshop; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA WorkshopLightingDef,NECB-A-Lighting,0.220816136,0.753424658,8.109863014,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA WorkshopGasEquipDef,NECB-A-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA WorkshopInfil,Always On,Workshop,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
CS Audience Seating Area - Auditorium,NCC2025_AU,Auditorium,Audience Seating Area,Auditorium,2025,AU,NCC,230,196,120,CS Audience Seating Area - Auditorium_NCC2025AU,CS Audience Seating Area - Auditorium_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - AuditoriumPeopleDef,SchoolSecondary BLDG_OCC_SCH_Auditorium,CS Audience Seating Area - AuditoriumActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Auditoriums,,,IMC Table 403.3.1.1Education_AuditoriumsVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - AuditoriumElectricalEquipDef,SchoolSecondary BLDG_EQUIP_SCH,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Audience Seating Area - AuditoriumLightingDef,SchoolSecondary BLDG_LIGHT_SCH,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - AuditoriumInfil,SchoolSecondary INFIL_SCH_PNNL,SecondarySchool,Auditorium,,2.11,,MediumRough,0.0332,0.966,219,859,0.9,0.65,0.65,Mixed_AudienceSeating_Auditorium_33mm,CalculatedEstimate,FoldingUpholsteredSeatsWithSteelPedestals,,Mixed_AudienceSeating_Auditorium_33mm,CalculatedEstimateFoldingUpholsteredSeatsWithSteelPedestalsMixed_AudienceSeating_Auditorium_33mmInternalMassDef
CS Audience Seating Area - Convention Center,NCC2025_AU,Convention Center,Audience Seating Area,Convention centre - audience,2025,AU,NCC,230,196,120,CS Audience Seating Area - Convention Center_NCC2025AU,CS Audience Seating Area - Convention Center_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Convention CenterPeopleDef,NCC-C9bConference-Occupancy,CS Audience Seating Area - Convention CenterActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Auditoriums,,,IMC Table 403.3.1.1Education_AuditoriumsVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Convention CenterElectricalEquipDef,NCC-C9bConference-LightingEquipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (nearest); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Audience Seating Area - Convention CenterLightingDef,NCC-C9bConference-LightingEquipment,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Convention CenterInfil,Always On,Space Function,Convention centre - audience,,1.05,,MediumRough,0.0084,3.73,636,562,0.9,0.7,0.7,Mixed_AudienceSeating_ConventionCenter_8mm,CalculatedEstimate,PortableStackingConferenceChairs,,Mixed_AudienceSeating_ConventionCenter_8mm,CalculatedEstimatePortableStackingConferenceChairsMixed_AudienceSeating_ConventionCenter_8mmInternalMassDef
CS Audience Seating Area - Exercise Center,NCC2025_AU,Exercise Center,Audience Seating Area,Gym - audience,2025,AU,NCC,230,196,120,CS Audience Seating Area - Exercise Center_NCC2025AU,CS Audience Seating Area - Exercise Center_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Exercise CenterPeopleDef,NECB-B-Occupancy,CS Audience Seating Area - Exercise CenterActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement_Spectator areas,,,IMC Table 403.3.1.1Sports and amusement_Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Exercise CenterElectricalEquipDef,NECB-B-Electric-Equipment,0.230000,2.47570,0.37,0.2,IECC Table C405.3.2(2),,Audience seating area - in a gymnasium (nearest; no dedicated 'exercise center' row); radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Audience Seating Area - Exercise CenterLightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Exercise CenterInfil,Always On,Space Function,Gym - audience,,1.03,,Smooth,0.01,50,332,863,0.9,0.65,0.65,Mixed_AudienceSeating_ExCtr_10mm,CalculatedEstimate,RetractableAluminumBleacherSystem,,Mixed_AudienceSeating_ExCtr_10mm,CalculatedEstimateRetractableAluminumBleacherSystemMixed_AudienceSeating_ExCtr_10mmInternalMassDef
CS Audience Seating Area - Gymnasium,NCC2025_AU,Gymnasium,Audience Seating Area,Gym - audience,2025,AU,NCC,230,196,120,CS Audience Seating Area - Gymnasium_NCC2025AU,CS Audience Seating Area - Gymnasium_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - GymnasiumPeopleDef,NECB-B-Occupancy,CS Audience Seating Area - GymnasiumActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement_Spectator areas,,,IMC Table 403.3.1.1Sports and amusement_Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - GymnasiumElectricalEquipDef,NECB-B-Electric-Equipment,0.230000,2.47570,0.37,0.2,IECC Table C405.3.2(2),,Audience seating area - in a gymnasium; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Audience Seating Area - GymnasiumLightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - GymnasiumInfil,SchoolSecondary INFIL_SCH_PNNL,SecondarySchool,Gym,,0.71,,Smooth,0.01,50,382,851,0.9,0.65,0.65,Mixed_AudienceSeating_Gymnasium_10mm,CalculatedEstimate,TelescopingAluminumBleacherSystem,,Mixed_AudienceSeating_Gymnasium_10mm,CalculatedEstimateTelescopingAluminumBleacherSystemMixed_AudienceSeating_Gymnasium_10mmInternalMassDef
CS Audience Seating Area - Motion Picture Theater,NCC2025_AU,Theater,Audience Seating Area,Audience - motion picture,2025,AU,NCC,230,196,120,CS Audience Seating Area - Motion Picture Theater_NCC2025AU,CS Audience Seating Area - Motion Picture Theater_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Motion Picture TheaterPeopleDef,NCC-C9bTheatre-Occupancy,CS Audience Seating Area - Motion Picture TheaterActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Auditoriums,,,IMC Table 403.3.1.1Education_AuditoriumsVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Motion Picture TheaterElectricalEquipDef,Always On,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (nearest); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Audience Seating Area - Motion Picture TheaterLightingDef,NCC-C9bTheatre-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Motion Picture TheaterInfil,Always On,Space Function,Audience - motion picture,,1.81,,MediumRough,0.0341,0.891,210,876,0.9,0.65,0.65,Mixed_AudienceSeating_MotionPictureTheater_34mm,CalculatedEstimate,FixedCinemaSeatsWithCupHolders,,Mixed_AudienceSeating_MotionPictureTheater_34mm,CalculatedEstimateFixedCinemaSeatsWithCupHoldersMixed_AudienceSeating_MotionPictureTheater_34mmInternalMassDef
CS Audience Seating Area - Penitentiary,NCC2025_AU,Penitentiary,Audience Seating Area,Penitentiary - audience,2025,AU,NCC,230,196,120,CS Audience Seating Area - Penitentiary_NCC2025AU,CS Audience Seating Area - Penitentiary_NCC2025AUScheduleSet,20,50,0.538195753,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - PenitentiaryPeopleDef,NECB-C-Occupancy,CS Audience Seating Area - PenitentiaryActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Correctional facilities_Booking_waiting,,,IMC Table 403.3.1.1Correctional facilities_Booking_waitingVent,0.747607993,8.047252432,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - PenitentiaryElectricalEquipDef,NECB-C-Electric-Equipment,0.560000,6.02779,0.37,0.2,IECC Table C405.3.2(2),,Audience seating area - in a penitentiary; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Audience Seating Area - PenitentiaryLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - PenitentiaryInfil,Always On,Space Function,Penitentiary - audience,,1.17,,MediumSmooth,0.0013,50,7800,460,0.9,0.7,0.7,Steel_AudienceSeating_Penitentiary_1mm,CalculatedEstimate,FixedAllMetalSecuritySeating,,Steel_AudienceSeating_Penitentiary_1mm,CalculatedEstimateFixedAllMetalSecuritySeatingSteel_AudienceSeating_Penitentiary_1mmInternalMassDef
CS Audience Seating Area - Performing Arts Theater,NCC2025_AU,Theater,Audience Seating Area,Audience - performance arts,2025,AU,NCC,230,196,120,CS Audience Seating Area - Performing Arts Theater_NCC2025AU,CS Audience Seating Area - Performing Arts Theater_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Performing Arts TheaterPeopleDef,NCC-C9bTheatre-Occupancy,CS Audience Seating Area - Performing Arts TheaterActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Auditoriums,,,IMC Table 403.3.1.1Education_AuditoriumsVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Performing Arts TheaterElectricalEquipDef,Always On,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (nearest); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Audience Seating Area - Performing Arts TheaterLightingDef,NCC-C9bTheatre-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Performing Arts TheaterInfil,SchoolSecondary INFIL_SCH_PNNL,SecondarySchool,Auditorium,,2.06,,MediumRough,0.0379,0.863,200,879,0.9,0.65,0.65,Mixed_AudienceSeating_PerformingArtsTheater_38mm,CalculatedEstimate,FixedUpholsteredSeatsWithAisleRails,,Mixed_AudienceSeating_PerformingArtsTheater_38mm,CalculatedEstimateFixedUpholsteredSeatsWithAisleRailsMixed_AudienceSeating_PerformingArtsTheater_38mmInternalMassDef
CS Audience Seating Area - Religious Building,NCC2025_AU,Religious,Audience Seating Area,Religious - audience,2025,AU,NCC,230,196,120,CS Audience Seating Area - Religious Building_NCC2025AU,CS Audience Seating Area - Religious Building_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Religious BuildingPeopleDef,NECB-I-Occupancy,CS Audience Seating Area - Religious BuildingActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Auditoriums,,,IMC Table 403.3.1.1Education_AuditoriumsVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Religious BuildingElectricalEquipDef,NECB-I-Electric-Equipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Audience Seating Area - Religious BuildingLightingDef,NECB-I-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Religious BuildingInfil,Always On,Space Function,Religious - audience,,1.17,,MediumRough,0.0182,1.185,255,785,0.9,0.7,0.7,Mixed_AudienceSeating_ReligiousBuilding_18mm,CalculatedEstimate,PaddedStackableGangedChairs,,Mixed_AudienceSeating_ReligiousBuilding_18mm,CalculatedEstimatePaddedStackableGangedChairsMixed_AudienceSeating_ReligiousBuilding_18mmInternalMassDef
CS Audience Seating Area - Sports Arena,NCC2025_AU,Sports arena,Audience Seating Area,Sports arena - audience,2025,AU,NCC,230,196,120,CS Audience Seating Area - Sports Arena_NCC2025AU,CS Audience Seating Area - Sports Arena_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Sports ArenaPeopleDef,NECB-B-Occupancy,CS Audience Seating Area - Sports ArenaActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement_Spectator areas,,,IMC Table 403.3.1.1Sports and amusement_Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Sports ArenaElectricalEquipDef,NECB-B-Electric-Equipment,0.270000,2.90626,0.37,0.2,IECC Table C405.3.2(2),,Audience seating area - in a sports arena; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Audience Seating Area - Sports ArenaLightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Sports ArenaInfil,Always On,Space Function,Sports arena - audience,,1.75,,MediumSmooth,0.01,2.66,440,1401,0.9,0.65,0.65,Mixed_AudienceSeating_SportsArena_10mm,CalculatedEstimate,FoldDownPolypropyleneStadiumSeats,,Mixed_AudienceSeating_SportsArena_10mm,CalculatedEstimateFoldDownPolypropyleneStadiumSeatsMixed_AudienceSeating_SportsArena_10mmInternalMassDef
CS Audience Seating Area - Transportation Facility,NCC2025_AU,Transportation Facility,Audience Seating Area,Transp. seating,2025,AU,NCC,230,196,120,CS Audience Seating Area - Transportation Facility_NCC2025AU,CS Audience Seating Area - Transportation Facility_NCC2025AUScheduleSet,10,100,1.076391505,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - Transportation FacilityPeopleDef,NECB-H-Occupancy,CS Audience Seating Area - Transportation FacilityActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Transportation_Transportation waiting,,,IMC Table 403.3.1.1Transportation_Transportation waitingVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - Transportation FacilityElectricalEquipDef,NECB-H-Electric-Equipment,0.330000,3.55209,0.37,0.2,IECC Table C405.3.2(2),,Audience seating area - otherwise (no dedicated transportation-facility row); radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Audience Seating Area - Transportation FacilityLightingDef,NECB-H-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - Transportation FacilityInfil,Always On,Space Function,Transp. seating,,0.66,,MediumRough,0.01,3.06,638,658,0.9,0.6,0.6,Mixed_AudienceSeating_Transportation_10mm,CalculatedEstimate,GangedModularWaitingSeats,,Mixed_AudienceSeating_Transportation_10mm,CalculatedEstimateGangedModularWaitingSeatsMixed_AudienceSeating_Transportation_10mmInternalMassDef
CS Audience Seating Area - Other,NCC2025_AU,Miscellaneous,Audience Seating Area,Audience - auditorium,2025,AU,NCC,230,196,120,CS Audience Seating Area - Other_NCC2025AU,CS Audience Seating Area - Other_NCC2025AUScheduleSet,10,100,1.076391505,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Audience Seating Area - OtherPeopleDef,NECB-C-Occupancy,CS Audience Seating Area - OtherActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Multiuse assembly,,,IMC Table 403.3.1.1Education_Multiuse assemblyVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Audience Seating Area - OtherElectricalEquipDef,NECB-C-Electric-Equipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (generic assembly fallback); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Audience Seating Area - OtherLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Audience Seating Area - OtherInfil,Always On,Space Function,Audience - auditorium,,1.13,,MediumRough,0.0079,1.86,364,691,0.9,0.65,0.65,Mixed_AudienceSeating_Other_8mm,CalculatedEstimate,PortablePaddedFoldingChairs,,Mixed_AudienceSeating_Other_8mm,CalculatedEstimatePortablePaddedFoldingChairsMixed_AudienceSeating_Other_8mmInternalMassDef
