Each row represents the efficiency standards for a specificy type of chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Day Type choices: Default, Wkdy, Wknd, Mon, Tue, Wed, Thu, Fri, Sat, Sun, WntrDsn, SmrDsn, Hol",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Category,Units,Day Types,Start Date,End Date,Type,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,Notes
Hospital OR_ExtraWaterHeatC_Sch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR_MinSA_Sched,Unknown,,Default|WntrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR_MinSA_Sched,Unknown,,Sat,1-Jan,31-Dec,Hourly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,From DOE Prototype Buildings
Hospital OR_MinSA_Sched,Unknown,,SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR_MinSA_Sched,Unknown,,Wkdy,1-Jan,31-Dec,Hourly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.2,From DOE Prototype Buildings
Hospital OR1_Flr_2 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR1_Flr_2 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR1_Flr_2 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR1_Flr_2 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR2_Mult5_Flr_2 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR2_Mult5_Flr_2 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR2_Mult5_Flr_2 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR2_Mult5_Flr_2 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR3_Flr_2 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR3_Flr_2 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR3_Flr_2 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR3_Flr_2 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR4_Flr_2 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR4_Flr_2 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR4_Flr_2 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital OR4_Flr_2 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Patrms_ExtraElecHeatC_Sch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Patrms_ExtraWaterHeatC_Sch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom1_Mult10_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom2_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom3_Mult10_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom4_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom5_Mult10_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom6_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom7_Mult10_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PatRoom8_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PhysTherapy_Flr_3 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PhysTherapy_Flr_3 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PhysTherapy_Flr_3 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PhysTherapy_Flr_3 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital PlantOnSched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Radiology_Flr_4 sub cat Latent fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Radiology_Flr_4 sub cat Sensible fract sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Radiology_Flr_4 sub cat Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Radiology_Flr_4 sub catHot Supply Temp Sched,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital ReheatCoilAvailSched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital scheduleOSCBasementFloorTemp,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital scheduleOSCBasementLowerWallTemp,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital scheduleOSCBasementUpperWallTemp,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital scheduleOSCBasementWallSurfaceTemp,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital SHADING_SCH,Unknown,W,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital SHWSys1 Water Heater Ambient Temperature Schedule,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,22,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital SHWSys1 Water Heater Setpoint Temperature Schedule,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital SHWSys1-Loop-Temp-Schedule,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Tower-Loop-Temp-Schedule,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,21.1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital VAV_ER_OAminOAFracSchedule,OA Air,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.33,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital VAV_ICU_OAminOAFracSchedule,OA Air,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.33,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital VAV_LABS_OAminOAFracSchedule,OA Air,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital VAV_OR_OAminOAFracSchedule,OA Air,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.33,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital VAV_PATRMS_OAminOAFracSchedule,OA Air,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.33,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital VAV_SAT_SCH,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,12.8,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital walkin_occ_lght_SCH,Occupancy,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
Hospital walkin_occ_lght_SCH,Occupancy,,Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.104,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.1,0.1,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
Hospital walkin_occ_lght_SCH,Occupancy,,SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital walkin_occ_lght_SCH,Occupancy,,Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.1,From DOE Prototype Buildings
Hospital walkin_occ_lght_SCH,Occupancy,,WntrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Hospital Work Eff,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Hospital WORK_EFF_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
HotelLarge Adva_OccGuestRoom_ClgSP_Sch,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Hourly,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,23.333,23.333,23.333,23.333,23.333,23.333,23.333,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,From DOE Prototype Buildings
HotelLarge Adva_OccGuestRoom_ClgSP_Sch,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,21.11,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
HotelLarge Adva_OccGuestRoom_HtgSP_Sch,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Hourly,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,18.889,18.889,18.889,18.889,18.889,18.889,18.889,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,From DOE Prototype Buildings
HotelLarge Adva_OccGuestRoom_HtgSP_Sch,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,21.11,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
HotelLarge Adva5F_OccGuestRoom_ClgSP_Sch,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Hourly,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,23.888,23.888,23.888,23.888,23.888,23.888,23.888,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,From DOE Prototype Buildings
