Each row represents the efficiency standards for a specificy type of chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Day Type choices: Default, Wkdy, Wknd, Mon, Tue, Wed, Thu, Fri, Sat, Sun, WntrDsn, SmrDsn, Hol",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Category,Units,Day Types,Start Date,End Date,Type,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,Notes
ApartmentHighRise EQP_APT_SCH,Equipment,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,0.45,0.41,0.39,0.38,0.38,0.43,0.54,0.65,0.66,0.67,0.69,0.7,0.69,0.66,0.65,0.68,0.8,1,1,0.93,0.89,0.85,0.71,0.58,From DOE Prototype Buildings
ApartmentHighRise EQP_OFF_SCH,Equipment,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.33,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise EQP_OFF_SCH,Equipment,,Wkdy,1-Jan,31-Dec,Hourly,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.5,1,1,1,1,0.94,1,1,1,1,0.5,0.33,0.33,0.33,0.33,0.33,0.33,From DOE Prototype Buildings
ApartmentHighRise Exterior_Lgt_ALWAYS_ON,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise Exterior_Ltg_Sch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_APT_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_DESIGN_OFF_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_OFF_SCH_No_Optimum,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,15.6,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_OFF_SCH_No_Optimum,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,15.6,15.6,15.6,15.6,15.6,15.6,15.6,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,15.6,15.6,15.6,15.6,15.6,15.6,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_OFF_SCH_Yes_Optimum,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,15.6,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_OFF_SCH_Yes_Optimum,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,15.6,15.6,15.6,15.6,15.6,15.6,15.6,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,15.6,15.6,15.6,15.6,15.6,15.6,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_OFF_SCH_Yes_Optimum_Original,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,15.6,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise HTGSETP_OFF_SCH_Yes_Optimum_Original,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,15.6,15.6,15.6,15.6,15.6,15.6,15.6,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,15.6,15.6,15.6,15.6,15.6,15.6,From DOE Prototype Buildings
ApartmentHighRise INF_APT_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise INF_COR_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise INF_OFF_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise INFIL_Door_Opening_SCH,Infiltration,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,0.144,1,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,1,0.144,0.144,0.144,0.144,0,0,From DOE Prototype Buildings
ApartmentHighRise LTG_APT_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,0.02,0.02,0.02,0.02,0.06,0.13,0.14,0.13,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.14,0.2,0.27,0.32,0.32,0.22,0.12,0.05,From DOE Prototype Buildings
ApartmentHighRise LTG_COR_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
