d83d8e85-c973-43f1-8010-e8f36dc62725,bb3bf4f1-c80b-43b9-93a6-263313c59141,f48c2a4a-3151-4163-b625-b93c6c227f62,35292a8f-2c31-428e-b12b-ecb42e41f30c,c318426a-e0cf-4c00-830e-9470f81507bb,36715673-fabf-4b26-bcb3-54efccbcf6ca,1f550d2e-d956-4855-8f6c-850193633ba2,f70f21e0-e825-4f34-a3a0-3417ba47b289,0a44a70a-025f-4b95-b067-1905cd773228,f3e926b6-9054-43e5-b214-72715fea5476,7e5f790a-2539-4f59-b04d-75858ff1caa0,0e52365f-0968-4865-98c8-5a391db72fe1,729982cd-0e35-4f56-90dd-aa3ce52c45a4,7c329b17-a9b9-429d-87d6-8d696bb1a0f1,a791e0a0-108f-4ea5-ac55-ffbc9ef41f04,03d16ff5-015b-4c1f-89e1-fb9e8f3c323e,41dd9f25-8df0-46e6-9f29-cceef9210ae8,f8a27cd2-f746-4301-a112-59d13e40d78d,dd740279-a043-472e-9440-1247838bdebd,93c3190c-58c6-4fa6-b31d-e972f017b622,e7668a0e-eeeb-49fe-b68d-e4673ff0492f,17a128c0-8bb3-42fe-8fa8-e9b6c9857c61,88a913cc-2e7a-402c-8f68-e04d9aea2bfe,922e17af-4f99-4a08-92d5-c8797f685f91,da106b8e-74c8-48ae-9585-c42116b2ba37,37274c8e-ef2a-4273-be16-1568ef1010d8,2f6014cb-8ffd-48ef-8c06-e2f22e8f09fb,8cd22776-3059-4312-be9f-414a4cc9a5d4,06a4bb43-86fe-4d0d-b323-df7f797ddedf,75657b05-6269-49ed-9dde-0685e47cd2e8,d7a052b3-0fd2-4248-aceb-14699019a4a4,fa38e540-d001-49d9-b3f1-d1a707fc1579,297cff0e-3751-4d1e-8c51-b492f8bae160,4478951e-a465-46c5-913d-bcea7a66cb2a,be6b6705-67ab-46ec-a6e5-80adf6c48c0a,821df950-1005-42a1-bb71-94e21d06f843,f0b3db32-813a-495e-9ca0-dde8056737c8,94e29b50-ba90-424a-98b8-c2dc37ad1d28,620be5d0-583e-43e9-b3de-0b70c7cf5176,953b161f-1acf-4fc3-a393-bdce6b3c5153,b80aad76-63a0-4cbf-802e-5e89b172c4f9,1bd0cfbf-ead3-4e72-b15b-e4980f9b59db,dc1f4078-c6b5-4ccb-a537-4da64d413107,cff5961c-e380-4d30-9a4d-0bfdf353115f,5a6d7588-d7ab-4a8a-be29-d0e69477a2d9,51ff4529-089d-43c6-90c4-e6bdcb13b9fe,dc5451c6-9cf1-4680-bb77-8c264cd2f1ec,50e1157d-9579-4ef9-b50e-099cefad7e0f,2810bb86-71f1-4ece-94e6-b7427b2274ef,feb23d72-7ec3-4505-84ec-987e02009258,65c47774-d0bf-4ce9-ba77-1b1304459dc7
BA Healthcare Clinic,255,255,255,BA Healthcare Clinic_2021WABuilding Code,BA Healthcare Clinic_2021WABuilding CodeScheduleSet,0.053819575,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA Healthcare ClinicPeopleDef,NECB-A-Occupancy,BA Healthcare ClinicActivity,,0.000221815,,COMNET-REV9WholeBuildingBA Healthcare ClinicVent,13.13386616,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Healthcare ClinicElectricalEquipDef,NECB-A-Electric-Equipment,7.5348,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Health care clinicLightingDef,NECB-A-Lighting,12.16479452,0,0,0.5,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeBA Healthcare ClinicGasEquipDef,OutPatientHealthCare BLDG_EQUIP_SCH_BASE,2.32E-05,PNNL-NECB 2011BA Healthcare ClinicInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Hospital,255,255,255,BA Hospital_2021WABuilding Code,BA Hospital_2021WABuilding CodeScheduleSet,0.053819575,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA HospitalPeopleDef,NECB-H-Occupancy,BA HospitalActivity,,0.000221815,,COMNET-REV9WholeBuildingBA HospitalVent,13.44237587,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA HospitalElectricalEquipDef,NECB-H-Electric-Equipment,9.04176,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2HospitalLightingDef,NECB-H-Lighting,12.16479452,0.01,0.2,0.7,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeBA HospitalGasEquipDef,Hospital BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA HospitalInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Hotel,255,255,255,BA Hotel_2021WABuilding Code,BA Hotel_2021WABuilding CodeScheduleSet,0.04305566,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA HotelPeopleDef,NECB-F-Occupancy,BA HotelActivity,,3.78E-05,,COMNET-REV9WholeBuildingBA HotelVent,16.83628263,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA HotelElectricalEquipDef,NECB-F-Electric-Equipment,6.02784,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2HotelLightingDef,NECB-F-Lighting,7.495479452,0,0.5,0,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeBA HotelGasEquipDef,HotelLarge BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA HotelInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Library,255,255,255,BA Library_2021WABuilding Code,BA Library_2021WABuilding CodeScheduleSet,0.107639151,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA LibraryPeopleDef,NECB-C-Occupancy,BA LibraryActivity,,5.19E-05,,COMNET-REV9WholeBuildingBA LibraryVent,10.08834052,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA LibraryElectricalEquipDef,NECB-C-Electric-Equipment,8.93412,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2LibraryLightingDef,NECB-C-Lighting,0.245753425,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA LibraryGasEquipDef,NECB-C-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA LibraryInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Manufacturing Facility,255,255,255,BA Manufacturing Facility_2021WABuilding Code,BA Manufacturing Facility_2021WABuilding CodeScheduleSet,0.075272133,424.9706917,97,120,0.4,COMNET-REV9WholeBuildingBA Manufacturing FacilityPeopleDef,NECB-A-Occupancy,BA Manufacturing FacilityActivity,,0.000117987,,COMNET-REV9WholeBuildingBA Manufacturing FacilityVent,3.711587445,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Manufacturing FacilityElectricalEquipDef,NECB-A-Electric-Equipment,8.82648,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Manufacturing facilityLightingDef,NECB-A-Lighting,8.109863014,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Manufacturing FacilityGasEquipDef,NECB-A-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Manufacturing FacilityInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Motel,255,255,255,BA Motel_2021WABuilding Code,BA Motel_2021WABuilding CodeScheduleSet,0.04305566,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA MotelPeopleDef,NECB-F-Occupancy,BA MotelActivity,,3.78E-05,,COMNET-REV9WholeBuildingBA MotelVent,16.83628263,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA MotelElectricalEquipDef,NECB-F-Electric-Equipment,6.02784,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2HotelLightingDef,NECB-F-Lighting,7.495479452,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA MotelGasEquipDef,NECB-F-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA MotelInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Motion Picture Theater,255,255,255,BA Motion Picture Theater_2021WABuilding Code,BA Motion Picture Theater_2021WABuilding CodeScheduleSet,1.53770215,96.71746776,97,120,0.681818182,COMNET-REV9WholeBuildingBA Motion Picture TheaterPeopleDef,NECB-C-Occupancy,BA Motion Picture TheaterActivity,,0.000561617,,COMNET-REV9WholeBuildingBA Motion Picture TheaterVent,8.017603941,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Motion Picture TheaterElectricalEquipDef,NECB-C-Electric-Equipment,4.73616,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Motion picture theaterLightingDef,NECB-C-Lighting,0.245753425,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Motion Picture TheaterGasEquipDef,NECB-C-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Motion Picture TheaterInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Multifamily,255,255,255,BA Multifamily_2021WABuilding Code,BA Multifamily_2021WABuilding CodeScheduleSet,0.028326092,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA MultifamilyPeopleDef,NECB-G-Occupancy,BA MultifamilyActivity,,2.83E-05,,COMNET-REV9WholeBuildingBA MultifamilyVent,15.33305825,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA MultifamilyElectricalEquipDef,NECB-G-Electric-Equipment,4.41324,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Multiple familyLightingDef,NECB-G-Lighting,7.495479452,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA MultifamilyGasEquipDef,NECB-G-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA MultifamilyInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Museum,255,255,255,BA Museum_2021WABuilding Code,BA Museum_2021WABuilding CodeScheduleSet,0.430556602,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA MuseumPeopleDef,NECB-C-Occupancy,BA MuseumActivity,,0.000169901,,COMNET-REV9WholeBuildingBA MuseumVent,8.017603941,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA MuseumElectricalEquipDef,NECB-C-Electric-Equipment,5.9202,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2MuseumLightingDef,NECB-C-Lighting,0.245753425,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA MuseumGasEquipDef,NECB-A-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA MuseumInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Office,255,255,255,BA Office_2021WABuilding Code,BA Office_2021WABuilding CodeScheduleSet,0.053819575,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA OfficePeopleDef,NECB-A-Occupancy,BA OfficeActivity,,4.25E-05,,COMNET-REV9WholeBuildingBA OfficeVent,17.99869304,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA OfficeElectricalEquipDef,NECB-A-Electric-Equipment,6.88896,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2OfficeLightingDef,NECB-A-Lighting,1.351643836,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA OfficeGasEquipDef,OfficeMedium BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA OfficeInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Parking Garage,255,255,255,BA Parking Garage_2021WABuilding Code,BA Parking Garage_2021WABuilding CodeScheduleSet,,,,,,,,,,,,,3.2292,0,0.06,0.88,"Medium Estimate: Workplace, 20% of Spaces with Level 2 Charger12%lost to heatDOEPrototypeBA Parking GarageElectricalEquipDef",NECB-H-Electric-Equipment,1.50696,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Parking garageLightingDef,NECB-H-Lighting,0,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Parking GarageGasEquipDef,NECB-H-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Parking GarageInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
